"Data Import Template"
"Table:","Workspace Sidebar"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Workspace Sidebar","","","","","","","","~","Workspace Sidebar Item","items","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Created On","Created By","Title","Header Icon","For User","Standard","App","","ID","Created On","Created By","Label","Link Type","Icon","Type","Link To","Child Item","Tab","URL","Collapsible","Indent","Keep Closed","Show Arrow","Display Depends On (JS)","Filters","Route Options"
"Column Name:","name","creation","owner","title","header_icon","for_user","standard","app","~","name","creation","owner","label","link_type","icon","type","link_to","child","navigate_to_tab","url","collapsible","indent","keep_closed","show_arrow","display_depends_on","filters","route_options"
"Mandatory:","Yes","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Datetime","Link","Data","Icon","Link","Check","Autocomplete","","Data","Datetime","Link","Data","Select","Icon","Select","Dynamic Link","Check","Autocomplete","Data","Check","Check","Check","Check","Code","Code","Code"
"Info:","","dd-mm-yyyy","Valid User","","","Valid User","0 or 1","","","","dd-mm-yyyy","Valid User","","One of: DocType, Page, Report, Workspace, Dashboard, URL","","One of: Link, Section Break, Spacer, Sidebar Item Group","","0 or 1","","","0 or 1","0 or 1","0 or 1","0 or 1","","",""
"Start entering data below this line"
"","","","","","","","","","","""njthlj4iv9""","2025-11-17 13:19:04.735352","Administrator","Material Request","DocType","notepad-text","Link","Material Request",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njthrmkpjd""","2025-11-17 13:19:04.735352","Administrator","Request for Quotation","DocType","git-pull-request-arrow","Link","Request for Quotation",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt1tn7vfm""","2025-11-17 13:19:04.735352","Administrator","Supplier Quotation","DocType","book-open-text","Link","Supplier Quotation",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njteaii7ds""","2025-11-17 13:19:04.735352","Administrator","Purchase Order","DocType","receipt-text","Link","Purchase Order",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtmjtsttk""","2025-11-17 13:19:04.735352","Administrator","Purchase Invoice","DocType","liabilities","Link","Purchase Invoice",0,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtl0qrcs1""","2025-11-17 13:19:04.735352","Administrator","Setup","DocType","database","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njtm7qg2bu""","2025-11-17 13:19:04.735352","Administrator","Supplier","DocType","","Link","Supplier",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt55o08de""","2025-11-17 13:19:04.735352","Administrator","Supplier Group","DocType","","Link","Supplier Group",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt7q5de8e""","2025-11-17 13:19:04.735352","Administrator","Item","DocType","","Link","Item",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt509uc7d""","2025-11-17 13:19:04.735352","Administrator","Price List","DocType","","Link","Price List",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt5vifbpj""","2025-11-17 13:19:04.735352","Administrator","Address","DocType","","Link","Address",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtclogdgr""","2025-11-17 13:19:04.735352","Administrator","Contacts","DocType","","Link","Contact",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt3e705mv""","2025-11-17 13:19:04.735352","Administrator","Supplier Scorecard","DocType","","Link","Supplier Scorecard",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt0ngovlh""","2025-11-17 13:19:04.735352","Administrator","Supplier Scorecard Criteria","DocType","","Link","Supplier Scorecard Criteria",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njt4j7rjr1""","2025-11-17 13:19:04.735352","Administrator","Supplier Scorecard Variable","DocType","","Link","Supplier Scorecard Variable",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtife8q07""","2025-11-17 13:19:04.735352","Administrator","Supplier Scorecard Standing","DocType","","Link","Supplier Scorecard Standing",1,"","",1,0,0,0,"","",""
"","","","","","","","","","","""njtuo568vd""","2025-11-17 13:19:04.735352","Administrator","Reports","DocType","sheet","Section Break","",0,"","",1,1,1,0,"","",""
"","","","","","","","","","","""njti90971t""","2025-11-17 13:19:04.735352","Administrator","Purchase Analytics","Report","","Link","Purchase Analytics",1,"","",1,0,0,0,"","",""
