parent,role,permlevel,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,if_owner,modified
Bank Transaction,Accounts User,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:02.772382
Batch,Item Manager,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2026-02-13 14:08:29.241487
Bin,Sales User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:29.039838
Bin,Purchase Manager,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-02-13 14:08:29.039838
Bin,Purchase User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:29.039838
Bin,Stock Manager,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-02-13 14:08:29.039838
Bin,Sales Manager,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-02-13 14:08:29.039838
Bin,Stock User,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2026-02-13 14:08:29.039838
Bisect Accounting Statements,Administrator,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,2026-02-13 14:08:05.161241
Bisect Nodes,Administrator,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:10.685125
Blanket Order,System Manager,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2026-02-14 01:13:52.993806
BOM,Manufacturing User,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2026-02-13 14:08:22.740554
BOM,Manufacturing Manager,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2026-02-13 14:08:22.740554
BOM Creator,Manufacturing Manager,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2026-02-13 14:08:24.218038
BOM Creator,Manufacturing User,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2026-02-13 14:08:24.218038
BOM Update Log,Manufacturing Manager,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:22.191192
BOM Update Log,System Manager,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,2026-02-13 14:08:22.191192
BOM Update Tool,Manufacturing Manager,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2026-02-13 14:08:24.360147
Branch,HR User,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,2026-02-13 14:08:20.607367
