name,module,custom,issingle,istable,is_submittable,autoname,naming_rule,title_field,search_fields,sort_field,sort_order,quick_entry,allow_rename,allow_copy,allow_import,allow_guest_to_view,restrict_to_domain,editable_grid,track_changes,read_only,in_create,is_tree,show_name_in_global_search,beta,modified
Slack Webhook URL,Integrations,0,0,0,0,field:webhook_name,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:38.414990
SMS Center,Selling,0,1,0,0,,,,,creation,DESC,0,0,1,0,0,,0,0,1,0,0,0,0,2024-03-27 13:10:43.007491
SMS Log,Core,0,0,0,0,SYS-SMS-.#####,,,,creation,DESC,0,0,0,0,0,,0,1,0,0,0,0,0,2024-03-23 16:03:38.537041
SMS Parameter,Core,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-03-12 19:40:34.519601
SMS Settings,Core,0,1,0,0,,,,,creation,DESC,0,0,1,0,0,,0,1,0,0,0,0,0,2024-03-23 16:03:38.762589
Social Link Settings,Website,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-23 16:03:38.866493
Social Login Key,Integrations,0,0,0,0,,,provider_name,,creation,DESC,0,0,0,1,0,,1,1,0,0,0,0,0,2025-07-03 12:47:01.696817
South Africa VAT Account,Accounts,0,0,1,0,account,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:43.141409
South Africa VAT Settings,Regional,0,0,0,0,field:company,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:43.257718
Stock Closing Balance,Stock,0,0,0,0,,,,,creation,DESC,0,0,1,0,0,,0,0,0,1,0,0,0,2024-12-10 21:56:36.633567
Stock Closing Entry,Stock,0,0,0,1,naming_series:,"By ""Naming Series"" field",,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-12-29 10:35:32.507988
Stock Entry,Stock,0,0,0,1,naming_series:,"By ""Naming Series"" field",stock_entry_type,"posting_date, from_warehouse, to_warehouse, purpose, remarks",creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-10-13 15:09:23.905118
Stock Entry Detail,Stock,0,0,1,0,hash,Random,,,creation,ASC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-10-16 11:50:50.573443
Stock Entry Type,Stock,0,0,0,0,Prompt,Set by user,,,creation,ASC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-09-04 13:03:31.283348
Stock Ledger Entry,Stock,0,0,0,0,MAT-SLE-.YYYY.-.#####,Expression (old style),,,creation,DESC,0,0,1,0,0,,0,0,0,1,0,0,0,2025-10-04 09:59:15.546556
Stock Reconciliation,Stock,0,0,0,1,naming_series:,"By ""Naming Series"" field",,posting_date,creation,DESC,0,0,0,0,0,,0,0,0,0,0,1,0,2025-08-04 19:21:20.179658
Stock Reconciliation Item,Stock,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-11-20 15:27:13.868179
Stock Reposting Settings,Stock,0,1,0,0,,,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,1,2026-01-02 18:18:57.115176
Stock Reservation Entry,Stock,0,0,0,1,MAT-SRE-.YYYY.-.#####,Expression (old style),voucher_no,,creation,DESC,0,0,1,0,0,,1,1,0,1,0,0,0,2025-11-10 16:09:10.380024
Stock Settings,Stock,0,1,0,0,,,,,creation,ASC,1,0,0,0,0,,0,1,0,0,0,0,0,2026-02-09 15:01:12.466175
Sub Operation,Manufacturing,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-08-04 16:15:11.425349
Subcontracting BOM,Subcontracting,0,0,0,0,format:SB-{####},Expression,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:45.904619
Subcontracting Inward Order,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",customer_name,"status, transaction_date, customer",creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-12-09 15:52:55.781346
Subcontracting Inward Order Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-10-18 18:04:04.204651
Subcontracting Inward Order Received Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-11-03 17:46:49.905804
Subcontracting Inward Order Scrap Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-10-14 10:28:30.192350
Subcontracting Inward Order Service Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-09-05 13:33:49.154869
Subcontracting Order,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",supplier_name,"status, transaction_date, supplier",creation,DESC,0,0,0,1,0,,0,1,0,0,0,1,0,2025-11-14 10:31:40.682892
Subcontracting Order Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2025-11-03 12:29:45.156101
Subcontracting Order Service Item,Subcontracting,0,0,1,0,hash,Random,,item_name,creation,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-11-13 16:04:45.020225
Subcontracting Order Supplied Item,Subcontracting,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2025-10-30 16:00:43.379828
Subcontracting Receipt,Subcontracting,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,"status, posting_date, supplier",creation,DESC,0,0,0,0,0,,1,1,0,1,0,1,0,2025-10-08 21:43:27.065640
Subcontracting Receipt Item,Subcontracting,0,0,1,0,hash,Random,,,modified,DESC,1,0,0,0,0,,1,0,0,0,0,0,0,2025-09-26 12:00:38.877638
Subcontracting Receipt Supplied Item,Subcontracting,0,0,1,0,,Autoincrement,,,modified,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-05-27 12:33:58.772638
Submission Queue,Core,0,0,0,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,1,2024-03-23 16:03:39.111282
Subscription,Accounts,0,0,0,0,ACC-SUB-.YYYY.-.#####,Expression (old style),,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-12-23 19:42:52.036034
Subscription Invoice,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:47.880704
Subscription Plan,Accounts,0,0,0,0,field:plan_name,By fieldname,,,creation,DESC,0,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:47.998597
Subscription Plan Detail,Accounts,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.168122
Subscription Settings,Accounts,0,1,0,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2026-01-02 18:18:34.671062
Success Action,Core,0,0,0,0,field:ref_doctype,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-23 16:03:39.228220
Supplier,Buying,0,0,0,0,naming_series:,"By ""Naming Series"" field",supplier_name,supplier_group,creation,ASC,1,1,0,1,0,,0,1,0,0,0,1,0,2026-02-06 12:58:01.398824
Supplier Group,Setup,0,0,0,0,field:supplier_group_name,By fieldname,,,creation,ASC,0,1,0,1,0,,0,0,0,0,1,1,0,2025-12-02 13:57:57.814686
Supplier Group Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.895401
Supplier Item,Accounts,0,0,1,0,,,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:48.995425
Supplier Number At Customer,Selling,0,0,1,0,,,,,creation,DESC,0,1,0,0,0,,1,0,0,0,0,0,0,2025-04-27 12:00:04.890068
Supplier Quotation,Buying,0,0,0,1,naming_series:,"By ""Naming Series"" field",title,"status, transaction_date, supplier,grand_total",creation,DESC,0,0,0,1,0,,0,0,0,0,0,1,0,2026-01-29 21:23:13.778468
Supplier Quotation Item,Buying,0,0,1,0,hash,Random,,,creation,DESC,0,0,0,0,0,,1,1,0,0,0,0,0,2025-06-17 12:05:52.441645
Supplier Scorecard,Buying,0,0,0,0,field:supplier,,,,creation,DESC,0,0,0,0,0,,1,0,0,0,0,0,0,2024-03-27 13:10:49.727302
Supplier Scorecard Criteria,Buying,0,0,0,0,field:criteria_name,By fieldname,,,creation,DESC,1,1,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:49.920492
Supplier Scorecard Period,Buying,0,0,0,1,naming_series:,,,,creation,DESC,0,0,0,0,0,,1,0,0,1,0,0,0,2024-03-27 13:10:50.051033
Supplier Scorecard Scoring Criteria,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.201230
Supplier Scorecard Scoring Standing,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.322056
Supplier Scorecard Scoring Variable,Buying,0,0,1,0,,,,,creation,DESC,1,0,0,0,0,,1,1,0,0,0,0,0,2024-03-27 13:10:50.456611
