parent,parenttype,parentfield,idx,fieldname,label,fieldtype,options,reqd,unique,read_only,hidden,in_list_view,in_filter,in_global_search,in_standard_filter,permlevel,depends_on,mandatory_depends_on,read_only_depends_on,default,description,collapsible,length,precision,modified
Accounts Settings,DocType,fields,13,allow_multi_currency_invoices_against_single_party_account,Allow multi-currency invoices against single party account ,Check,,0,0,0,0,0,0,0,0,0,,,,0,Enabling this will allow creation of multi-currency invoices against single party account in company currency,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,14,confirm_before_resetting_posting_date,Confirm before resetting posting date,Check,,0,0,0,0,0,0,0,0,0,,,,1,"If enabled, user will be alerted before resetting posting date to current date in relevant transactions",0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,15,journals_section,Journals,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,16,merge_similar_account_heads,Merge Similar Account Heads,Check,,0,0,0,0,0,0,0,0,0,,,,0,Rows with Same Account heads will be merged on Ledger,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,17,deferred_accounting_settings_section,Deferred Accounting Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,18,book_deferred_entries_based_on,Book Deferred Entries Based On,Select,"Days
Months",0,0,0,0,0,0,0,0,0,,,,Days,"If ""Months"" is selected, a fixed amount will be booked as deferred revenue or expense for each month irrespective of the number of days in a month. It will be prorated if deferred revenue or expense is not booked for an entire month",0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,19,column_break_18,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,20,automatically_process_deferred_accounting_entry,Automatically Process Deferred Accounting Entry,Check,,0,0,0,0,0,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,21,book_deferred_entries_via_journal_entry,Book Deferred Entries Via Journal Entry,Check,,0,0,0,0,0,0,0,0,0,,,,0,"If this is unchecked, direct GL entries will be created to book deferred revenue or expense",0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,22,submit_journal_entries,Submit Journal Entries,Check,,0,0,0,0,0,0,0,0,0,eval:doc.book_deferred_entries_via_journal_entry,,,0,If this is unchecked Journal Entries will be saved in a Draft state and will have to be submitted manually,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,23,tax_settings_section,Tax Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,24,determine_address_tax_category_from,Determine Address Tax Category From,Select,"Billing Address
Shipping Address",0,0,0,0,0,0,0,0,0,,,,Billing Address,Address used to determine Tax Category in transactions,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,25,column_break_19,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,26,add_taxes_from_item_tax_template,Automatically Add Taxes and Charges from Item Tax Template,Check,,0,0,0,0,0,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,27,add_taxes_from_taxes_and_charges_template,Automatically Add Taxes from Taxes and Charges Template,Check,,0,0,0,0,0,0,0,0,0,,,,0,"If no taxes are set, and Taxes and Charges Template is selected, the system will automatically apply the taxes from the chosen template.",0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,28,book_tax_discount_loss,Book Tax Loss on Early Payment Discount,Check,,0,0,0,0,0,0,0,0,0,,,,0,Split Early Payment Discount Loss into Income and Tax Loss,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,29,round_row_wise_tax,Round Tax Amount Row-wise,Check,,0,0,0,0,0,0,0,0,0,,,,0,Tax Amount will be rounded on a row(items) level,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,30,print_settings,Print Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,31,show_inclusive_tax_in_print,Show Inclusive Tax in Print,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,32,show_taxes_as_table_in_print,Show Taxes as Table in Print,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,33,column_break_12,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,34,show_payment_schedule_in_print,Show Payment Schedule in Print,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,35,item_price_settings_section,Item Price Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,36,maintain_same_internal_transaction_rate,Maintain Same Rate Throughout Internal Transaction,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,37,fetch_valuation_rate_for_internal_transaction,Fetch Valuation Rate for Internal Transaction,Check,,0,0,0,0,0,0,0,0,0,,,,0,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,38,column_break_feyo,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,39,maintain_same_rate_action,Action if Same Rate is Not Maintained Throughout  Internal Transaction,Select,"Stop
Warn",0,0,0,0,0,0,0,0,0,maintain_same_internal_transaction_rate,maintain_same_internal_transaction_rate,,Stop,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,40,role_to_override_stop_action,Role Allowed to Override Stop Action,Link,Role,0,0,0,0,0,0,0,0,0,eval: doc.maintain_same_internal_transaction_rate && doc.maintain_same_rate_action == 'Stop',,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,41,currency_exchange_section,Currency Exchange Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,42,allow_stale,Allow Stale Exchange Rates,Check,,0,0,0,0,1,0,0,0,0,,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,43,allow_pegged_currencies_exchange_rates,Allow Implicit Pegged Currency Conversion,Check,,0,0,0,0,0,0,0,0,0,,,,0,"System will do an implicit conversion using the pegged currency. <br>
Ex: Instead of AED -&gt; INR, system will do AED -&gt; USD -&gt; INR using the pegged exchange rate of AED against USD.",0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,44,column_break_yuug,,Column Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,45,stale_days,Stale Days,Int,,0,0,0,0,0,0,0,0,0,eval:doc.allow_stale==0,,,1,,0,0,,2026-02-13 14:08:09.010085
Accounts Settings,DocType,fields,46,section_break_jpd0,Payment Reconciliation Settings,Section Break,,0,0,0,0,0,0,0,0,0,,,,,,0,0,,2026-02-13 14:08:09.010085
